id,meantempm,maxtempm,mintempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
1,34,41,27,35,36,34,6,4,-1,1006,1005.46,1005.63,27,21,24,5,6,4,41,43,43,29,29,26,12,10,9,-2,-2,-10,1009,1008,1009,1000,1001,999,0,0,0
2,31,38,24,34,35,36,7,6,4,1005.65,1006,1005.46,29,27,21,6,5,6,41,41,43,27,29,29,13,12,10,0,-2,-2,1008,1009,1008,1001,1000,1001,0,0,0
3,28,34,21,31,34,35,11,7,6,1007.94,1005.65,1006,61,29,27,13,6,5,38,41,41,24,27,29,16,13,12,6,0,-2,1011,1008,1009,1003,1001,1000,5,0,0
4,30,38,23,28,31,34,13,11,7,1008.39,1007.94,1005.65,69,61,29,18,13,6,34,38,41,21,24,27,17,16,13,9,6,0,1011,1011,1008,1004,1003,1001,0,5,0
5,34,41,26,30,28,31,10,13,11,1007.62,1008.39,1007.94,50,69,61,8,18,13,38,34,38,23,21,24,14,17,16,6,9,6,1010,1011,1011,1002,1004,1003,0,0,5
6,34,42,27,34,30,28,8,10,13,1006.73,1007.62,1008.39,32,50,69,7,8,18,41,38,34,26,23,21,12,14,17,6,6,9,1010,1010,1011,1002,1002,1004,0,0,0
7,34,41,27,34,34,30,11,8,10,1005.75,1006.73,1007.62,45,32,50,7,7,8,42,41,38,27,26,23,16,12,14,7,6,6,1008,1010,1010,1000,1002,1002,0.3,0,0
8,32,40,25,34,34,34,16,11,8,1007.1,1005.75,1006.73,51,45,32,12,7,7,41,42,41,27,27,26,18,16,12,13,7,6,1010,1008,1010,1002,1000,1002,0.8,0.3,0
9,34,42,27,32,34,34,16,16,11,1006.78,1007.1,1005.75,66,51,45,16,12,7,40,41,42,25,27,27,22,18,16,10,13,7,1011,1010,1008,1001,1002,1000,2,0.8,0.3
10,34,42,26,34,32,34,13,16,16,1003.83,1006.78,1007.1,58,66,51,9,16,12,42,40,41,27,25,27,20,22,18,10,10,13,1007,1011,1010,998,1001,1002,0.3,2,0.8
11,35,42,28,34,34,32,11,13,16,1003.56,1003.83,1006.78,40,58,66,9,9,16,42,42,40,26,27,25,16,20,22,7,10,10,1006,1007,1011,998,998,1001,0,0.3,2
12,36,44,29,35,34,34,13,11,13,1004.74,1003.56,1003.83,48,40,58,8,9,9,42,42,42,28,26,27,19,16,20,10,7,10,1007,1006,1007,1000,998,998,0,0,0.3
13,36,43,28,36,35,34,12,13,11,1005.02,1004.74,1003.56,40,48,40,7,8,9,44,42,42,29,28,26,16,19,16,9,10,7,1008,1007,1006,1001,1000,998,0,0,0
14,35,44,26,36,36,35,13,12,13,1003.68,1005.02,1004.74,51,40,48,6,7,8,43,44,42,28,29,28,19,16,19,7,9,10,1006,1008,1007,999,1001,1000,3,0,0
15,36,45,27,35,36,36,13,13,12,1001.58,1003.68,1005.02,42,51,40,8,6,7,44,43,44,26,28,29,16,19,16,10,7,9,1010,1006,1008,995,999,1001,0,3,0
16,38,46,29,36,35,36,11,13,13,999.88,1001.58,1003.68,45,42,51,5,8,6,45,44,43,27,26,28,17,16,19,6,10,7,1002,1010,1006,994,995,999,0,0,3
17,38,46,30,38,36,35,6,11,13,998.96,999.88,1001.58,33,45,42,4,5,8,46,45,44,29,27,26,13,17,16,-2,6,10,1002,1002,1010,994,994,995,0,0,0
18,38,45,32,38,38,36,10,6,11,997.92,998.96,999.88,38,33,45,4,4,5,46,46,45,30,29,27,18,13,17,0,-2,6,1001,1002,1002,992,994,994,0,0,0
19,38,44,31,38,38,38,12,10,6,998.41,997.92,998.96,30,38,33,6,4,4,45,46,46,32,30,29,17,18,13,3,0,-2,1001,1001,1002,992,992,994,0,0,0
20,34,42,25,38,38,38,16,12,10,999.88,998.41,997.92,46,30,38,10,6,4,44,45,46,31,32,30,21,17,18,8,3,0,1003,1001,1001,995,992,992,0,0,0
21,32,40,23,34,38,38,18,16,12,1001.13,999.88,998.41,69,46,30,18,10,6,42,44,45,25,31,32,21,21,17,15,8,3,1006,1003,1001,994,995,992,0.5,0,0
22,34,40,28,32,34,38,16,18,16,1002.15,1001.13,999.88,74,69,46,14,18,10,40,42,44,23,25,31,20,21,21,12,15,8,1005,1006,1003,996,994,995,0,0.5,0
23,34,40,28,34,32,34,17,16,18,1000.02,1002.15,1001.13,51,74,69,16,14,18,40,40,42,28,23,25,20,20,21,15,12,15,1003,1005,1006,994,996,994,0,0,0.5
24,36,42,30,34,34,32,16,17,16,1001.7,1000.02,1002.15,46,51,74,14,16,14,40,40,40,28,28,23,19,20,20,13,15,12,1004,1003,1005,997,994,996,0,0,0
25,35,40,30,36,34,34,13,16,17,1003.43,1001.7,1000.02,40,46,51,7,14,16,42,40,40,30,28,28,18,19,20,7,13,15,1006,1004,1003,998,997,994,0,0,0
26,33,41,25,35,36,34,16,13,16,1003.17,1003.43,1001.7,46,40,46,15,7,14,40,42,40,30,30,28,20,18,19,13,7,13,1009,1006,1004,997,998,997,0,0,0
27,32,37,26,33,35,36,16,16,13,1002.18,1003.17,1003.43,48,46,40,16,15,7,41,40,42,25,30,30,18,20,18,13,13,7,1005,1009,1006,996,997,998,0,0,0
28,34,41,28,32,33,35,17,16,16,1003.67,1002.18,1003.17,58,48,46,21,16,15,37,41,40,26,25,30,20,18,20,8,13,13,1007,1005,1009,999,996,997,0,0,0
29,35,42,28,34,32,33,16,17,16,1005.08,1003.67,1002.18,52,58,48,12,21,16,41,37,41,28,26,25,20,20,18,10,8,13,1008,1007,1005,999,999,996,0,0,0
30,36,42,30,35,34,32,13,16,17,1005.44,1005.08,1003.67,42,52,58,10,12,21,42,41,37,28,28,26,18,20,20,8,10,8,1009,1008,1007,999,999,999,0,0,0
31,38,43,32,36,35,34,13,13,16,1004.8,1005.44,1005.08,38,42,52,10,10,12,42,42,41,30,28,28,18,18,20,9,8,10,1009,1009,1008,999,999,999,0,0,0
32,38,44,31,38,36,35,13,13,13,1004.93,1004.8,1005.44,34,38,42,10,10,10,43,42,42,32,30,28,18,18,18,7,9,8,1008,1009,1009,999,999,999,0,0,0
33,38,45,31,38,38,36,5,13,13,1004.67,1004.93,1004.8,27,34,38,4,10,10,44,43,42,31,32,30,18,18,18,2,7,9,1007,1008,1009,999,999,999,0,0,0
34,36,44,27,38,38,38,6,5,13,1003.88,1004.67,1004.93,27,27,34,4,4,10,45,44,43,31,31,32,16,18,18,0,2,7,1007,1007,1008,998,999,999,0,0,0
35,38,45,30,36,38,38,13,6,5,1003.29,1003.88,1004.67,51,27,27,5,4,4,44,45,44,27,31,31,21,16,18,5,0,2,1007,1007,1007,997,998,999,0,0,0
36,38,44,31,38,36,38,12,13,6,1002.83,1003.29,1003.88,47,51,27,4,5,4,45,44,45,30,27,31,22,21,16,2,5,0,1006,1007,1007,996,997,998,0,0,0
37,36,44,29,38,38,36,12,12,13,1001.24,1002.83,1003.29,43,47,51,7,4,5,44,45,44,31,30,27,19,22,21,8,2,5,1004,1006,1007,994,996,997,0,0,0
38,37,43,31,36,38,38,12,12,12,1000.57,1001.24,1002.83,34,43,47,6,7,4,44,44,45,29,31,30,17,19,22,6,8,2,1003,1004,1006,994,994,996,0,0,0
39,34,41,27,37,36,38,15,12,12,1000.6,1000.57,1001.24,41,34,43,11,6,7,43,44,44,31,29,31,21,17,19,12,6,8,1003,1003,1004,994,994,994,0,0,0
40,34,41,27,34,37,36,18,15,12,1001.62,1000.6,1000.57,62,41,34,16,11,6,41,43,44,27,31,29,22,21,17,13,12,6,1004,1003,1003,994,994,994,0,0,0
41,35,40,30,34,34,37,18,18,15,1001.2,1001.62,1000.6,58,62,41,23,16,11,41,41,43,27,27,31,21,22,21,15,13,12,1004,1004,1003,996,994,994,0,0,0
42,34,39,29,35,34,34,19,18,18,1001.42,1001.2,1001.62,58,58,62,17,23,16,40,41,41,30,27,27,26,21,22,14,15,13,1004,1004,1004,995,996,994,0,0,0
43,34,39,30,34,35,34,18,19,18,1000.63,1001.42,1001.2,49,58,58,18,17,23,39,40,41,29,30,27,24,26,21,16,14,15,1004,1004,1004,994,995,996,0,0,0
44,35,40,30,34,34,35,18,18,19,998.76,1000.63,1001.42,52,49,58,16,18,17,39,39,40,30,29,30,22,24,26,15,16,14,1002,1004,1004,993,994,995,0,0,0
45,36,42,31,35,34,34,17,18,18,999.57,998.76,1000.63,46,52,49,21,16,18,40,39,39,30,30,29,20,22,24,13,15,16,1003,1002,1004,994,993,994,0,0,0
46,36,42,30,36,35,34,17,17,18,1000.55,999.57,998.76,41,46,52,15,21,16,42,40,39,31,30,30,21,20,22,13,13,15,1003,1003,1002,994,994,993,0,0,0
47,35,41,29,36,36,35,19,17,17,1001.7,1000.55,999.57,46,41,46,15,15,21,42,42,40,30,31,30,22,21,20,15,13,13,1004,1003,1003,995,994,994,0,0,0
48,35,41,29,35,36,36,20,19,17,1002.2,1001.7,1000.55,52,46,41,17,15,15,41,42,42,29,30,31,23,22,21,16,15,13,1005,1004,1003,996,995,994,0,0,0
49,34,40,27,35,35,36,21,20,19,1001.2,1002.2,1001.7,66,52,46,21,17,15,41,41,42,29,29,30,23,23,22,17,16,15,1004,1005,1004,994,996,995,0,0,0
50,32,37,27,34,35,35,22,21,20,1001.45,1001.2,1002.2,89,66,52,27,21,17,40,41,41,27,29,29,25,23,23,20,17,16,1003,1004,1005,999,994,996,3,0,0
51,34,40,27,32,34,35,23,22,21,1003,1001.45,1001.2,84,89,66,31,27,21,37,40,41,27,27,29,25,25,23,20,20,17,1006,1003,1004,998,999,994,0,3,0
52,34,40,28,34,32,34,23,23,22,1002.88,1003,1001.45,79,84,89,27,31,27,40,37,40,27,27,27,25,25,25,19,20,20,1007,1006,1003,996,998,999,0,0,3
53,34,40,29,34,34,32,21,23,23,1001.19,1002.88,1003,62,79,84,24,27,31,40,40,37,28,27,27,23,25,25,18,19,20,1004,1007,1006,995,996,998,0,0,0
54,34,39,29,34,34,34,21,21,23,1002.21,1001.19,1002.88,62,62,79,24,24,27,40,40,40,29,28,27,23,23,25,20,18,19,1005,1004,1007,998,995,996,2,0,0
55,34,39,29,34,34,34,21,21,21,1001.93,1002.21,1001.19,66,62,62,30,24,24,39,40,40,29,29,28,25,23,23,18,20,18,1005,1005,1004,995,998,995,0.2,2,0
56,30,35,25,34,34,34,23,21,21,1001.27,1001.93,1002.21,84,66,62,35,30,24,39,39,40,29,29,29,26,25,23,21,18,20,1003,1005,1005,997,995,998,4,0.2,2
57,32,39,26,30,34,34,25,23,21,1002.41,1001.27,1001.93,94,84,66,45,35,30,35,39,39,25,29,29,26,26,25,23,21,18,1005,1003,1005,998,997,995,0,4,0.2
58,36,42,30,32,30,34,24,25,23,1002.48,1002.41,1001.27,84,94,84,32,45,35,39,35,39,26,25,29,26,26,26,21,23,21,1005,1005,1003,996,998,997,0,0,4
59,28,33,24,36,32,30,23,24,25,1000.22,1002.48,1002.41,62,84,94,22,32,45,42,39,35,30,26,25,26,26,26,19,21,23,1003,1005,1005,994,996,998,0,0,0
60,26,31,22,28,36,32,25,23,24,999.43,1000.22,1002.48,100,62,84,55,22,32,33,42,39,24,30,26,27,26,26,23,19,21,1003,1003,1005,994,994,996,6,0,0
61,28,31,24,26,28,36,25,25,23,999.87,999.43,1000.22,100,100,62,66,55,22,31,33,42,22,24,30,26,27,26,23,23,19,1001,1003,1003,997,994,994,0,6,0
62,30,36,25,28,26,28,25,25,25,1000.04,999.87,999.43,100,100,100,60,66,55,31,31,33,24,22,24,26,26,27,24,23,23,1007,1001,1003,996,997,994,0,0,6
63,32,37,27,30,28,26,23,25,25,999.3,1000.04,999.87,94,100,100,36,60,66,36,31,31,25,24,22,26,26,26,21,24,23,1001,1007,1001,994,996,997,0,0,0
